date,attraction,city,tourists,type
2011_05,墾丁海水浴場,屏東縣,23979,Outdoor
2011_05,駁二藝術特區,高雄市,116426,Outdoor
2011_06,陽明山遊客中心,臺北市,13140,Indoor
2011_06,陽明公園,臺北市,33000,Outdoor
2011_06,擎天崗,臺北市,0,Outdoor
2011_06,國立故宮博物院,臺北市,251374,Indoor
2011_06,淡水漁人碼頭,新北市,292679,Outdoor
2011_06,新北市立黃金博物館,新北市,95083,Outdoor
2011_06,國立自然科學博物館,臺中市,192608,Indoor
2011_06,國立臺灣美術館(含美術園道商圈),臺中市,0,Indoor
2011_06,臺中國家歌劇院,臺中市,0,Indoor
2011_06,日月潭環潭區,南投縣,236974,Outdoor
2011_06,清境農場,南投縣,87628,Outdoor
2011_06,溪頭自然教育園區,南投縣,142306,Outdoor
2011_06,蓮池潭,高雄市,32000,Outdoor
2011_06,國立科學工藝博物館,高雄市,191622,Indoor
2011_06,高雄市立美術館,高雄市,32871,Indoor
2011_06,旗津風景區,高雄市,0,Outdoor
2011_06,墾丁國家森林遊樂區,屏東縣,12844,Outdoor
2011_06,國立海洋生物博物館,屏東縣,123142,Indoor
2011_06,墾丁海水浴場,屏東縣,24603,Outdoor
2011_06,駁二藝術特區,高雄市,55756,Outdoor
2011_07,陽明山遊客中心,臺北市,17282,Indoor
2011_07,陽明公園,臺北市,56000,Outdoor
2011_07,擎天崗,臺北市,0,Outdoor
2011_07,國立故宮博物院,臺北市,355498,Indoor
2011_07,淡水漁人碼頭,新北市,352481,Outdoor
2011_07,新北市立黃金博物館,新北市,130811,Outdoor
2011_07,國立自然科學博物館,臺中市,333799,Indoor
2011_07,國立臺灣美術館(含美術園道商圈),臺中市,0,Indoor
2011_07,臺中國家歌劇院,臺中市,0,Indoor
2011_07,日月潭環潭區,南投縣,449010,Outdoor
2011_07,清境農場,南投縣,163722,Outdoor
2011_07,溪頭自然教育園區,南投縣,208099,Outdoor
2011_07,蓮池潭,高雄市,30000,Outdoor
2011_07,國立科學工藝博物館,高雄市,311130,Indoor
2011_07,高雄市立美術館,高雄市,59220,Indoor
2011_07,旗津風景區,高雄市,0,Outdoor
2011_07,墾丁國家森林遊樂區,屏東縣,18851,Outdoor
2011_07,國立海洋生物博物館,屏東縣,209020,Indoor
2011_07,墾丁海水浴場,屏東縣,26913,Outdoor
2011_07,駁二藝術特區,高雄市,222385,Outdoor
2011_08,陽明山遊客中心,臺北市,13201,Indoor
2011_08,陽明公園,臺北市,49000,Outdoor
2011_08,擎天崗,臺北市,0,Outdoor
2011_08,國立故宮博物院,臺北市,347995,Indoor
2011_08,淡水漁人碼頭,新北市,303079,Outdoor
2011_08,新北市立黃金博物館,新北市,116645,Outdoor
2011_08,國立自然科學博物館,臺中市,336934,Indoor
2011_08,國立臺灣美術館(含美術園道商圈),臺中市,0,Indoor
2011_08,臺中國家歌劇院,臺中市,0,Indoor
2011_08,日月潭環潭區,南投縣,701090,Outdoor
2011_08,清境農場,南投縣,121474,Outdoor
2011_08,溪頭自然教育園區,南投縣,168344,Outdoor
2011_08,蓮池潭,高雄市,30000,Outdoor
2011_08,國立科學工藝博物館,高雄市,264187,Indoor
2011_08,高雄市立美術館,高雄市,46789,Indoor
2011_08,旗津風景區,高雄市,0,Outdoor
2011_08,墾丁國家森林遊樂區,屏東縣,12284,Outdoor
2011_08,國立海洋生物博物館,屏東縣,153105,Indoor
2011_08,墾丁海水浴場,屏東縣,22821,Outdoor
2011_08,駁二藝術特區,高雄市,188560,Outdoor
2011_09,陽明山遊客中心,臺北市,13785,Indoor
2011_09,陽明公園,臺北市,42000,Outdoor
2011_09,擎天崗,臺北市,0,Outdoor
2011_09,國立故宮博物院,臺北市,253090,Indoor
2011_09,淡水漁人碼頭,新北市,325611,Outdoor
2011_09,新北市立黃金博物館,新北市,114656,Outdoor
