date,attraction,city,tourists
2011_05,旗津風景區,高雄市,0
2011_05,墾丁國家森林遊樂區,屏東縣,12972
2011_05,國立海洋生物博物館,屏東縣,94653
2011_05,墾丁海水浴場,屏東縣,23979
2011_05,駁二藝術特區,高雄市,116426
2011_06,陽明山遊客中心,臺北市,13140
2011_06,陽明公園,臺北市,33000
2011_06,擎天崗,臺北市,0
2011_06,國立故宮博物院,臺北市,251374
2011_06,淡水漁人碼頭,新北市,292679
2011_06,新北市立黃金博物館,新北市,95083
2011_06,國立自然科學博物館,臺中市,192608
2011_06,國立臺灣美術館(含美術園道商圈),臺中市,0
2011_06,臺中國家歌劇院,臺中市,0
2011_06,日月潭環潭區,南投縣,236974
2011_06,清境農場,南投縣,87628
2011_06,溪頭自然教育園區,南投縣,142306
2011_06,蓮池潭,高雄市,32000
2011_06,國立科學工藝博物館,高雄市,191622
2011_06,高雄市立美術館,高雄市,32871
2011_06,旗津風景區,高雄市,0
2011_06,墾丁國家森林遊樂區,屏東縣,12844
2011_06,國立海洋生物博物館,屏東縣,123142
2011_06,墾丁海水浴場,屏東縣,24603
2011_06,駁二藝術特區,高雄市,55756
2011_07,陽明山遊客中心,臺北市,17282
2011_07,陽明公園,臺北市,56000
2011_07,擎天崗,臺北市,0
2011_07,國立故宮博物院,臺北市,355498
2011_07,淡水漁人碼頭,新北市,352481
2011_07,新北市立黃金博物館,新北市,130811
2011_07,國立自然科學博物館,臺中市,333799
2011_07,國立臺灣美術館(含美術園道商圈),臺中市,0
2011_07,臺中國家歌劇院,臺中市,0
2011_07,日月潭環潭區,南投縣,449010
2011_07,清境農場,南投縣,163722
2011_07,溪頭自然教育園區,南投縣,208099
2011_07,蓮池潭,高雄市,30000
2011_07,國立科學工藝博物館,高雄市,311130
2011_07,高雄市立美術館,高雄市,59220
2011_07,旗津風景區,高雄市,0
2011_07,墾丁國家森林遊樂區,屏東縣,18851
2011_07,國立海洋生物博物館,屏東縣,209020
2011_07,墾丁海水浴場,屏東縣,26913
2011_07,駁二藝術特區,高雄市,222385
2011_08,陽明山遊客中心,臺北市,13201
2011_08,陽明公園,臺北市,49000
2011_08,擎天崗,臺北市,0
2011_08,國立故宮博物院,臺北市,347995
2011_08,淡水漁人碼頭,新北市,303079
2011_08,新北市立黃金博物館,新北市,116645
2011_08,國立自然科學博物館,臺中市,336934
2011_08,國立臺灣美術館(含美術園道商圈),臺中市,0
2011_08,臺中國家歌劇院,臺中市,0
2011_08,日月潭環潭區,南投縣,701090
2011_08,清境農場,南投縣,121474
2011_08,溪頭自然教育園區,南投縣,168344
2011_08,蓮池潭,高雄市,30000
2011_08,國立科學工藝博物館,高雄市,264187
2011_08,高雄市立美術館,高雄市,46789
2011_08,旗津風景區,高雄市,0
2011_08,墾丁國家森林遊樂區,屏東縣,12284
2011_08,國立海洋生物博物館,屏東縣,153105
2011_08,墾丁海水浴場,屏東縣,22821
2011_08,駁二藝術特區,高雄市,188560
2011_09,陽明山遊客中心,臺北市,13785
2011_09,陽明公園,臺北市,42000
2011_09,擎天崗,臺北市,0
2011_09,國立故宮博物院,臺北市,253090
2011_09,淡水漁人碼頭,新北市,325611
2011_09,新北市立黃金博物館,新北市,114656
2011_09,國立自然科學博物館,臺中市,225199
2011_09,國立臺灣美術館(含美術園道商圈),臺中市,0
2011_09,臺中國家歌劇院,臺中市,0
2011_09,日月潭環潭區,南投縣,379484
2011_09,清境農場,南投縣,83489
2011_09,溪頭自然教育園區,南投縣,166187
2011_09,蓮池潭,高雄市,32000
2011_09,國立科學工藝博物館,高雄市,141029
2011_09,高雄市立美術館,高雄市,33125
2011_09,旗津風景區,高雄市,0
2011_09,墾丁國家森林遊樂區,屏東縣,21218
2011_09,國立海洋生物博物館,屏東縣,126125
2011_09,墾丁海水浴場,屏東縣,23648
2011_09,駁二藝術特區,高雄市,55209
2011_10,陽明山遊客中心,臺北市,16426
2011_10,陽明公園,臺北市,39000
2011_10,擎天崗,臺北市,0
2011_10,國立故宮博物院,臺北市,331835
2011_10,淡水漁人碼頭,新北市,333974
2011_10,新北市立黃金博物館,新北市,128808
2011_10,國立自然科學博物館,臺中市,311915
2011_10,國立臺灣美術館(含美術園道商圈),臺中市,0
2011_10,臺中國家歌劇院,臺中市,0
2011_10,日月潭環潭區,南投縣,492307
2011_10,清境農場,南投縣,105746
2011_10,溪頭自然教育園區,南投縣,154848
2011_10,蓮池潭,高雄市,1120000
2011_10,國立科學工藝博物館,高雄市,145488
2011_10,高雄市立美術館,高雄市,65838
2011_10,旗津風景區,高雄市,0
2011_10,墾丁國家森林遊樂區,屏東縣,19448
2011_10,國立海洋生物博物館,屏東縣,129295
2011_10,墾丁海水浴場,屏東縣,22873
2011_10,駁二藝術特區,高雄市,69194
2011_11,陽明山遊客中心,臺北市,10710
2011_11,陽明公園,臺北市,40000
2011_11,擎天崗,臺北市,0
2011_11,國立故宮博物院,臺北市,381051
2011_11,淡水漁人碼頭,新北市,280212
2011_11,新北市立黃金博物館,新北市,159554
2011_11,國立自然科學博物館,臺中市,342297
2011_11,國立臺灣美術館(含美術園道商圈),臺中市,0
2011_11,臺中國家歌劇院,臺中市,0
2011_11,日月潭環潭區,南投縣,432344
2011_11,清境農場,南投縣,89840
2011_11,溪頭自然教育園區,南投縣,123378
2011_11,蓮池潭,高雄市,60000
2011_11,國立科學工藝博物館,高雄市,112596
2011_11,高雄市立美術館,高雄市,48761
2011_11,旗津風景區,高雄市,0
2011_11,墾丁國家森林遊樂區,屏東縣,15435
2011_11,國立海洋生物博物館,屏東縣,81197
2011_11,墾丁海水浴場,屏東縣,22873
2011_11,駁二藝術特區,高雄市,85159
2011_12,陽明山遊客中心,臺北市,11148
2011_12,陽明公園,臺北市,36000
2011_12,擎天崗,臺北市,0
2011_12,國立故宮博物院,臺北市,390912
2011_12,淡水漁人碼頭,新北市,255411
2011_12,新北市立黃金博物館,新北市,125592
2011_12,國立自然科學博物館,臺中市,276012
2011_12,國立臺灣美術館(含美術園道商圈),臺中市,0
2011_12,臺中國家歌劇院,臺中市,0
2011_12,日月潭環潭區,南投縣,386283
2011_12,清境農場,南投縣,96161
2011_12,溪頭自然教育園區,南投縣,114803
2011_12,蓮池潭,高雄市,62000
2011_12,國立科學工藝博物館,高雄市,107954
2011_12,高雄市立美術館,高雄市,42966
2011_12,旗津風景區,高雄市,0
2011_12,墾丁國家森林遊樂區,屏東縣,13847
2011_12,國立海洋生物博物館,屏東縣,58885
2011_12,墾丁海水浴場,屏東縣,13328
2011_12,駁二藝術特區,高雄市,152506
2012_01,陽明山遊客中心,臺北市,12187
2012_01,陽明公園,臺北市,161000
2012_01,擎天崗,臺北市,0
2012_01,國立故宮博物院,臺北市,298037
2012_01,淡水漁人碼頭,新北市,257293
2012_01,新北市立黃金博物館,新北市,133916
2012_01,國立自然科學博物館,臺中市,297580
2012_01,國立臺灣美術館(含美術園道商圈),臺中市,0
2012_01,臺中國家歌劇院,臺中市,0
2012_01,日月潭環潭區,南投縣,397982
2012_01,清境農場,南投縣,102698
2012_01,溪頭自然教育園區,南投縣,90648
2012_01,蓮池潭,高雄市,170000
2012_01,國立科學工藝博物館,高雄市,154390
2012_01,高雄市立美術館,高雄市,141253
2012_01,旗津風景區,高雄市,563288
2012_01,墾丁國家森林遊樂區,屏東縣,25597
2012_01,國立海洋生物博物館,屏東縣,122144
2012_01,墾丁海水浴場,屏東縣,17060
2012_01,駁二藝術特區,高雄市,457502
2012_02,陽明山遊客中心,臺北市,18612
2012_02,陽明公園,臺北市,463000
2012_02,擎天崗,臺北市,0
2012_02,國立故宮博物院,臺北市,329963
2012_02,淡水漁人碼頭,新北市,233396
2012_02,新北市立黃金博物館,新北市,122711
2012_02,國立自然科學博物館,臺中市,266656
2012_02,國立臺灣美術館(含美術園道商圈),臺中市,0
2012_02,臺中國家歌劇院,臺中市,0
2012_02,日月潭環潭區,南投縣,744315
2012_02,清境農場,南投縣,76293
2012_02,溪頭自然教育園區,南投縣,82678
2012_02,蓮池潭,高雄市,45000
2012_02,國立科學工藝博物館,高雄市,112645
2012_02,高雄市立美術館,高雄市,117150
2012_02,旗津風景區,高雄市,498894
2012_02,墾丁國家森林遊樂區,屏東縣,14568
2012_02,國立海洋生物博物館,屏東縣,81096
2012_02,墾丁海水浴場,屏東縣,17165
2012_02,駁二藝術特區,高雄市,357965
2012_03,陽明山遊客中心,臺北市,18580
2012_03,陽明公園,臺北市,705200
2012_03,擎天崗,臺北市,0
2012_03,國立故宮博物院,臺北市,426229
2012_03,淡水漁人碼頭,新北市,279459
2012_03,新北市立黃金博物館,新北市,120575
2012_03,國立自然科學博物館,臺中市,205678
2012_03,國立臺灣美術館(含美術園道商圈),臺中市,0
2012_03,臺中國家歌劇院,臺中市,0
2012_03,日月潭環潭區,南投縣,541968
2012_03,清境農場,南投縣,63003
2012_03,溪頭自然教育園區,南投縣,99675
2012_03,蓮池潭,高雄市,30000
2012_03,國立科學工藝博物館,高雄市,303590
2012_03,高雄市立美術館,高雄市,83966
2012_03,旗津風景區,高雄市,422422
2012_03,墾丁國家森林遊樂區,屏東縣,14271
2012_03,國立海洋生物博物館,屏東縣,67881
2012_03,墾丁海水浴場,屏東縣,22834
2012_03,駁二藝術特區,高雄市,237498
2012_04,陽明山遊客中心,臺北市,13329
2012_04,陽明公園,臺北市,85600
2012_04,擎天崗,臺北市,0
2012_04,國立故宮博物院,臺北市,464262
2012_04,淡水漁人碼頭,新北市,282907
2012_04,新北市立黃金博物館,新北市,145568
2012_04,國立自然科學博物館,臺中市,223141
2012_04,國立臺灣美術館(含美術園道商圈),臺中市,0
2012_04,臺中國家歌劇院,臺中市,0
2012_04,日月潭環潭區,南投縣,528040
2012_04,清境農場,南投縣,79777
2012_04,溪頭自然教育園區,南投縣,117567
2012_04,蓮池潭,高雄市,32000
2012_04,國立科學工藝博物館,高雄市,424343
2012_04,高雄市立美術館,高雄市,61880
2012_04,旗津風景區,高雄市,451577
2012_04,墾丁國家森林遊樂區,屏東縣,15266
2012_04,國立海洋生物博物館,屏東縣,91924
2012_04,墾丁海水浴場,屏東縣,20202
2012_04,駁二藝術特區,高雄市,154091
2012_05,陽明山遊客中心,臺北市,14179
2012_05,陽明公園,臺北市,38600
2012_05,擎天崗,臺北市,0
2012_05,國立故宮博物院,臺北市,421357
2012_05,淡水漁人碼頭,新北市,285076
2012_05,新北市立黃金博物館,新北市,131076
2012_05,國立自然科學博物館,臺中市,195094
2012_05,國立臺灣美術館(含美術園道商圈),臺中市,0
2012_05,臺中國家歌劇院,臺中市,0
2012_05,日月潭環潭區,南投縣,354536
2012_05,清境農場,南投縣,62526
2012_05,溪頭自然教育園區,南投縣,119051
2012_05,蓮池潭,高雄市,32000
2012_05,國立科學工藝博物館,高雄市,306819
2012_05,高雄市立美術館,高雄市,48203
2012_05,旗津風景區,高雄市,380353
2012_05,墾丁國家森林遊樂區,屏東縣,11702
2012_05,國立海洋生物博物館,屏東縣,96613
2012_05,墾丁海水浴場,屏東縣,23984
2012_05,駁二藝術特區,高雄市,148240
2012_06,陽明山遊客中心,臺北市,11397
2012_06,陽明公園,臺北市,28000
2012_06,擎天崗,臺北市,0
2012_06,國立故宮博物院,臺北市,309928
2012_06,淡水漁人碼頭,新北市,272139
2012_06,新北市立黃金博物館,新北市,131076
2012_06,國立自然科學博物館,臺中市,174806
2012_06,國立臺灣美術館(含美術園道商圈),臺中市,0
2012_06,臺中國家歌劇院,臺中市,0
2012_06,日月潭環潭區,南投縣,248707
2012_06,清境農場,南投縣,45964
2012_06,溪頭自然教育園區,南投縣,94663
2012_06,蓮池潭,高雄市,30000
2012_06,國立科學工藝博物館,高雄市,89524
2012_06,高雄市立美術館,高雄市,45182
2012_06,旗津風景區,高雄市,380353
2012_06,墾丁國家森林遊樂區,屏東縣,8605
2012_06,國立海洋生物博物館,屏東縣,100207
2012_06,墾丁海水浴場,屏東縣,22860
2012_06,駁二藝術特區,高雄市,47049
2012_07,陽明山遊客中心,臺北市,16000
2012_07,陽明公園,臺北市,51700
2012_07,擎天崗,臺北市,0
2012_07,國立故宮博物院,臺北市,375416
2012_07,淡水漁人碼頭,新北市,342855
2012_07,新北市立黃金博物館,新北市,205353
2012_07,國立自然科學博物館,臺中市,328805
2012_07,國立臺灣美術館(含美術園道商圈),臺中市,0
2012_07,臺中國家歌劇院,臺中市,0
2012_07,日月潭環潭區,南投縣,490345
2012_07,清境農場,南投縣,138505
2012_07,溪頭自然教育園區,南投縣,214832
2012_07,蓮池潭,高雄市,32000
2012_07,國立科學工藝博物館,高雄市,164337
2012_07,高雄市立美術館,高雄市,83082
2012_07,旗津風景區,高雄市,560214
2012_07,墾丁國家森林遊樂區,屏東縣,18055
2012_07,國立海洋生物博物館,屏東縣,201609
2012_07,墾丁海水浴場,屏東縣,26704
2012_07,駁二藝術特區,高雄市,99668
2012_08,陽明山遊客中心,臺北市,11791
2012_08,陽明公園,臺北市,44700
2012_08,擎天崗,臺北市,0
2012_08,國立故宮博物院,臺北市,367686
2012_08,淡水漁人碼頭,新北市,287964
2012_08,新北市立黃金博物館,新北市,186222
2012_08,國立自然科學博物館,臺中市,289978
2012_08,國立臺灣美術館(含美術園道商圈),臺中市,0
2012_08,臺中國家歌劇院,臺中市,0
2012_08,日月潭環潭區,南投縣,579880
2012_08,清境農場,南投縣,97512
2012_08,溪頭自然教育園區,南投縣,147409
2012_08,蓮池潭,高雄市,30000
2012_08,國立科學工藝博物館,高雄市,145800
2012_08,高雄市立美術館,高雄市,68383
2012_08,旗津風景區,高雄市,433915
2012_08,墾丁國家森林遊樂區,屏東縣,7673
2012_08,國立海洋生物博物館,屏東縣,152052
2012_08,墾丁海水浴場,屏東縣,20600
2012_08,駁二藝術特區,高雄市,95503
2012_09,陽明山遊客中心,臺北市,10469
2012_09,陽明公園,臺北市,39000
2012_09,擎天崗,臺北市,0
2012_09,國立故宮博物院,臺北市,279346
2012_09,淡水漁人碼頭,新北市,280981
2012_09,新北市立黃金博物館,新北市,152238
2012_09,國立自然科學博物館,臺中市,210685
2012_09,國立臺灣美術館(含美術園道商圈),臺中市,0
2012_09,臺中國家歌劇院,臺中市,0
2012_09,日月潭環潭區,南投縣,368433
2012_09,清境農場,南投縣,78117
2012_09,溪頭自然教育園區,南投縣,129458
2012_09,蓮池潭,高雄市,66000
2012_09,國立科學工藝博物館,高雄市,99339
2012_09,高雄市立美術館,高雄市,69003
2012_09,旗津風景區,高雄市,445254
2012_09,墾丁國家森林遊樂區,屏東縣,13735
2012_09,國立海洋生物博物館,屏東縣,102565
2012_09,墾丁海水浴場,屏東縣,24239
2012_09,駁二藝術特區,高雄市,94425
2012_10,陽明山遊客中心,臺北市,11515
2012_10,陽明公園,臺北市,36000
2012_10,擎天崗,臺北市,0
2012_10,國立故宮博物院,臺北市,345925
2012_10,淡水漁人碼頭,新北市,322850
2012_10,新北市立黃金博物館,新北市,157793
2012_10,國立自然科學博物館,臺中市,218440
2012_10,國立臺灣美術館(含美術園道商圈),臺中市,0
2012_10,臺中國家歌劇院,臺中市,0
2012_10,日月潭環潭區,南投縣,405769
2012_10,清境農場,南投縣,107724
2012_10,溪頭自然教育園區,南投縣,140280
2012_10,蓮池潭,高雄市,1550000
2012_10,國立科學工藝博物館,高雄市,137487
2012_10,高雄市立美術館,高雄市,79925
2012_10,旗津風景區,高雄市,451999
2012_10,墾丁國家森林遊樂區,屏東縣,16236
2012_10,國立海洋生物博物館,屏東縣,106725
2012_10,墾丁海水浴場,屏東縣,23101
2012_10,駁二藝術特區,高雄市,405490
2012_11,陽明山遊客中心,臺北市,6896
2012_11,陽明公園,臺北市,35000
2012_11,擎天崗,臺北市,0
2012_11,國立故宮博物院,臺北市,370956
2012_11,淡水漁人碼頭,新北市,256398
2012_11,新北市立黃金博物館,新北市,141419
2012_11,國立自然科學博物館,臺中市,231326
2012_11,國立臺灣美術館(含美術園道商圈),臺中市,0
2012_11,臺中國家歌劇院,臺中市,0
2012_11,日月潭環潭區,南投縣,383647
2012_11,清境農場,南投縣,90899
2012_11,溪頭自然教育園區,南投縣,110591
2012_11,蓮池潭,高雄市,68800
2012_11,國立科學工藝博物館,高雄市,89260
2012_11,高雄市立美術館,高雄市,89247
2012_11,旗津風景區,高雄市,384982
2012_11,墾丁國家森林遊樂區,屏東縣,14489
2012_11,國立海洋生物博物館,屏東縣,81828
2012_11,墾丁海水浴場,屏東縣,22396
2012_11,駁二藝術特區,高雄市,120018
2012_12,陽明山遊客中心,臺北市,9631
2012_12,陽明公園,臺北市,33000
2012_12,擎天崗,臺北市,0
2012_12,國立故宮博物院,臺北市,371710
2012_12,淡水漁人碼頭,新北市,257840
2012_12,新北市立黃金博物館,新北市,146568
2012_12,國立自然科學博物館,臺中市,311734
2012_12,國立臺灣美術館(含美術園道商圈),臺中市,0
2012_12,臺中國家歌劇院,臺中市,0
2012_12,日月潭環潭區,南投縣,381721
2012_12,清境農場,南投縣,103557
2012_12,溪頭自然教育園區,南投縣,102674
2012_12,蓮池潭,高雄市,96184
2012_12,國立科學工藝博物館,高雄市,147419
2012_12,高雄市立美術館,高雄市,99857
2012_12,旗津風景區,高雄市,447474
2012_12,墾丁國家森林遊樂區,屏東縣,14671
2012_12,國立海洋生物博物館,屏東縣,83013
2012_12,墾丁海水浴場,屏東縣,117633
2012_12,駁二藝術特區,高雄市,234827
2013_01,陽明山遊客中心,臺北市,18133
2013_01,陽明公園,臺北市,114000
2013_01,擎天崗,臺北市,0
2013_01,國立故宮博物院,臺北市,304278
2013_01,淡水漁人碼頭,新北市,225868
2013_01,新北市立黃金博物館,新北市,100379
2013_01,國立自然科學博物館,臺中市,246255
2013_01,國立臺灣美術館(含美術園道商圈),臺中市,80251
2013_01,臺中國家歌劇院,臺中市,0
2013_01,日月潭環潭區,南投縣,278025
2013_01,清境農場,南投縣,67272
2013_01,溪頭自然教育園區,南投縣,73932
2013_01,蓮池潭,高雄市,94568
2013_01,國立科學工藝博物館,高雄市,134056
2013_01,高雄市立美術館,高雄市,97361
2013_01,旗津風景區,高雄市,454150
2013_01,墾丁國家森林遊樂區,屏東縣,9588
2013_01,國立海洋生物博物館,屏東縣,43106
2013_01,墾丁海水浴場,屏東縣,13711
2013_01,駁二藝術特區,高雄市,280395
2013_02,陽明山遊客中心,臺北市,66380
2013_02,陽明公園,臺北市,768000
2013_02,擎天崗,臺北市,0
2013_02,國立故宮博物院,臺北市,324931
2013_02,淡水漁人碼頭,新北市,270694
2013_02,新北市立黃金博物館,新北市,153691
2013_02,國立自然科學博物館,臺中市,341720
2013_02,國立臺灣美術館(含美術園道商圈),臺中市,85721
2013_02,臺中國家歌劇院,臺中市,0
2013_02,日月潭環潭區,南投縣,781181
2013_02,清境農場,南投縣,122607
2013_02,溪頭自然教育園區,南投縣,103835
2013_02,蓮池潭,高雄市,272025
2013_02,國立科學工藝博物館,高雄市,222770
2013_02,高雄市立美術館,高雄市,124198
2013_02,旗津風景區,高雄市,709932
2013_02,墾丁國家森林遊樂區,屏東縣,25470
2013_02,國立海洋生物博物館,屏東縣,132311
2013_02,墾丁海水浴場,屏東縣,21715
2013_02,駁二藝術特區,高雄市,445694
2013_03,陽明山遊客中心,臺北市,28664
2013_03,陽明公園,臺北市,582000
2013_03,擎天崗,臺北市,0
2013_03,國立故宮博物院,臺北市,388409
2013_03,淡水漁人碼頭,新北市,279935
2013_03,新北市立黃金博物館,新北市,133310
2013_03,國立自然科學博物館,臺中市,284650
2013_03,國立臺灣美術館(含美術園道商圈),臺中市,102207
2013_03,臺中國家歌劇院,臺中市,0
2013_03,日月潭環潭區,南投縣,501699
2013_03,清境農場,南投縣,80915
2013_03,溪頭自然教育園區,南投縣,101184
2013_03,蓮池潭,高雄市,86976
2013_03,國立科學工藝博物館,高雄市,218830
2013_03,高雄市立美術館,高雄市,73498
2013_03,旗津風景區,高雄市,485222
2013_03,墾丁國家森林遊樂區,屏東縣,15292
2013_03,國立海洋生物博物館,屏東縣,71500
2013_03,墾丁海水浴場,屏東縣,25219
2013_03,駁二藝術特區,高雄市,206970
2013_04,陽明山遊客中心,臺北市,13106
2013_04,陽明公園,臺北市,76000
2013_04,擎天崗,臺北市,0
2013_04,國立故宮博物院,臺北市,396625
2013_04,淡水漁人碼頭,新北市,235451
2013_04,新北市立黃金博物館,新北市,130318
2013_04,國立自然科學博物館,臺中市,299082
2013_04,國立臺灣美術館(含美術園道商圈),臺中市,113460
2013_04,臺中國家歌劇院,臺中市,0
2013_04,日月潭環潭區,南投縣,405240
2013_04,清境農場,南投縣,58982
2013_04,溪頭自然教育園區,南投縣,97238
2013_04,蓮池潭,高雄市,84160
2013_04,國立科學工藝博物館,高雄市,215227
2013_04,高雄市立美術館,高雄市,76436
2013_04,旗津風景區,高雄市,449684
2013_04,墾丁國家森林遊樂區,屏東縣,16509
2013_04,國立海洋生物博物館,屏東縣,91478
2013_04,墾丁海水浴場,屏東縣,21136
2013_04,駁二藝術特區,高雄市,136870
2013_05,陽明山遊客中心,臺北市,14624
2013_05,陽明公園,臺北市,35800
2013_05,擎天崗,臺北市,0
2013_05,國立故宮博物院,臺北市,333495
2013_05,淡水漁人碼頭,新北市,254444
2013_05,新北市立黃金博物館,新北市,128460
2013_05,國立自然科學博物館,臺中市,288754
2013_05,國立臺灣美術館(含美術園道商圈),臺中市,109721
2013_05,臺中國家歌劇院,臺中市,0
2013_05,日月潭環潭區,南投縣,267023
2013_05,清境農場,南投縣,60530
2013_05,溪頭自然教育園區,南投縣,96658
2013_05,蓮池潭,高雄市,93760
2013_05,國立科學工藝博物館,高雄市,186120
2013_05,高雄市立美術館,高雄市,78313
2013_05,旗津風景區,高雄市,388062
2013_05,墾丁國家森林遊樂區,屏東縣,11597
2013_05,國立海洋生物博物館,屏東縣,89496
2013_05,墾丁海水浴場,屏東縣,24701
2013_05,駁二藝術特區,高雄市,244286
2013_06,陽明山遊客中心,臺北市,12856
2013_06,陽明公園,臺北市,27500
2013_06,擎天崗,臺北市,0
2013_06,國立故宮博物院,臺北市,338163
2013_06,淡水漁人碼頭,新北市,273709
2013_06,新北市立黃金博物館,新北市,157598
2013_06,國立自然科學博物館,臺中市,240907
2013_06,國立臺灣美術館(含美術園道商圈),臺中市,129089
2013_06,臺中國家歌劇院,臺中市,0
2013_06,日月潭環潭區,南投縣,307550
2013_06,清境農場,南投縣,90585
2013_06,溪頭自然教育園區,南投縣,131555
2013_06,蓮池潭,高雄市,93368
2013_06,國立科學工藝博物館,高雄市,198632
2013_06,高雄市立美術館,高雄市,97314
2013_06,旗津風景區,高雄市,494973
2013_06,墾丁國家森林遊樂區,屏東縣,14020
2013_06,國立海洋生物博物館,屏東縣,118851
2013_06,墾丁海水浴場,屏東縣,25795
2013_06,駁二藝術特區,高雄市,97362
2013_07,陽明山遊客中心,臺北市,14267
2013_07,陽明公園,臺北市,44700
2013_07,擎天崗,臺北市,0
2013_07,國立故宮博物院,臺北市,397836
2013_07,淡水漁人碼頭,新北市,270914
2013_07,新北市立黃金博物館,新北市,175310
2013_07,國立自然科學博物館,臺中市,347513
2013_07,國立臺灣美術館(含美術園道商圈),臺中市,132868
2013_07,臺中國家歌劇院,臺中市,0
2013_07,日月潭環潭區,南投縣,318434
2013_07,清境農場,南投縣,124152
2013_07,溪頭自然教育園區,南投縣,164079
2013_07,蓮池潭,高雄市,93760
2013_07,國立科學工藝博物館,高雄市,229788
2013_07,高雄市立美術館,高雄市,123437
2013_07,旗津風景區,高雄市,511109
